date,opening_price,closing_price,increase,total_quantity,total_amount
1/16/17,180,179.5,-1.10%,"30,778","5,527,552"
1/13/17,180.5,181.5,-1.63%,"52,370","9,492,277"
1/12/17,182.5,184.5,1.37%,"41,164","7,589,227"
1/11/17,185,182,-1.09%,"29,127","5,324,808"
1/10/17,184.5,184,0.00%,"20,217","3,724,356"
1/9/17,184,184,0.00%,"18,584","3,419,409"
1/6/17,184,184,0.27%,"22,463","4,130,047"
1/5/17,182,183.5,0.27%,"20,995","3,843,843"
1/4/17,183,183,0.00%,"24,382","4,460,200"
1/3/17,181.5,183,0.83%,"22,647","4,135,245"
12/30/16,181,181.5,0.83%,"36,629","6,625,938"
12/29/16,180,180,-1.10%,"30,212","5,453,513"
12/28/16,181,182,1.11%,"21,243","3,860,608"
12/27/16,180,180,0.28%,"8,276","1,488,495"
12/26/16,179,179.5,0.56%,"5,694","1,021,266"
12/23/16,179,178.5,-0.28%,"22,978","4,109,177"
12/22/16,180,179,-0.56%,"26,292","4,719,627"
12/21/16,181,180,-1.37%,"29,710","5,371,567"
12/20/16,181,182.5,0.00%,"24,160","4,379,744"
12/19/16,184,182.5,-1.35%,"20,553","3,763,429"
12/16/16,185.5,185,-1.07%,"36,006","6,672,350"
