mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
18.7,8.0,360.0,175.0,3.15,3.44,17.02,0.0,0.0,3.0,2.0
14.3,8.0,360.0,245.0,3.21,3.57,15.84,0.0,0.0,3.0,4.0
16.4,8.0,275.8,180.0,3.07,4.07,17.4,0.0,0.0,3.0,3.0
17.3,8.0,275.8,180.0,3.07,3.73,17.6,0.0,0.0,3.0,3.0
15.2,8.0,275.8,180.0,3.07,3.78,18.0,0.0,0.0,3.0,3.0
10.4,8.0,472.0,205.0,2.93,5.25,17.98,0.0,0.0,3.0,4.0
10.4,8.0,460.0,215.0,3.0,5.424,17.82,0.0,0.0,3.0,4.0
14.7,8.0,440.0,230.0,3.23,5.345,17.42,0.0,0.0,3.0,4.0
15.5,8.0,318.0,150.0,2.76,3.52,16.87,0.0,0.0,3.0,2.0
15.2,8.0,304.0,150.0,3.15,3.435,17.3,0.0,0.0,3.0,2.0
13.3,8.0,350.0,245.0,3.73,3.84,15.41,0.0,0.0,3.0,4.0
19.2,8.0,400.0,175.0,3.08,3.845,17.05,0.0,0.0,3.0,2.0
15.8,8.0,351.0,264.0,4.22,3.17,14.5,0.0,1.0,5.0,4.0
15.0,8.0,301.0,335.0,3.54,3.57,14.6,0.0,1.0,5.0,8.0
