date,buy,sell
1/1/15,0.2631,0.2671
1/2/15,0.2614,0.2654
1/3/15,0.2614,0.2654
1/4/15,0.2612,0.2652
1/5/15,0.2638,0.2678
1/6/15,0.2665,0.2705
1/7/15,0.2668,0.2708
1/8/15,0.2652,0.2692
1/9/15,0.2655,0.2695
1/10/15,0.2655,0.2695
1/11/15,0.2655,0.2695
1/12/15,0.2672,0.2712
1/13/15,0.2674,0.2714
1/14/15,0.27,0.274
1/15/15,0.268,0.272
1/16/15,0.2695,0.2735
1/17/15,0.2695,0.2735
1/18/15,0.2695,0.2735
1/19/15,0.2673,0.2713
1/20/15,0.2661,0.2701
1/21/15,0.2661,0.2701
1/22/15,0.2651,0.2691
1/23/15,0.2639,0.2679
1/24/15,0.2639,0.2679
1/25/15,0.2639,0.2679
1/26/15,0.2632,0.2672
1/27/15,0.2634,0.2674
1/28/15,0.2632,0.2672
1/29/15,0.2657,0.2697
1/30/15,0.2657,0.2697
1/31/15,0.2657,0.2697
2/1/15,0.2657,0.2697
2/2/15,0.2675,0.2715
2/3/15,0.2678,0.2718
2/4/15,0.2657,0.2697
2/5/15,0.2668,0.2708
2/6/15,0.2663,0.2703
2/7/15,0.2663,0.2703
2/8/15,0.2663,0.2703
2/9/15,0.2634,0.2674
2/10/15,0.2633,0.2673
2/11/15,0.2618,0.2658
2/12/15,0.261,0.265
2/13/15,0.2628,0.2668
2/14/15,0.263,0.267
2/15/15,0.263,0.267
2/16/15,0.2645,0.2685
2/17/15,0.2649,0.2689
2/18/15,0.2649,0.2689
2/19/15,0.2649,0.2689
2/20/15,0.2649,0.2689
2/21/15,0.2649,0.2689
2/22/15,0.2649,0.2689
2/23/15,0.2634,0.2674
2/24/15,0.2637,0.2677
2/25/15,0.2633,0.2673
2/26/15,0.2632,0.2672
2/27/15,0.2632,0.2672
2/28/15,0.2632,0.2672
3/1/15,0.2632,0.2672
3/2/15,0.2614,0.2654
3/3/15,0.2609,0.2649
3/4/15,0.261,0.265
3/5/15,0.261,0.265
3/6/15,0.2598,0.2638
3/7/15,0.2598,0.2638
3/8/15,0.2598,0.2638
3/9/15,0.2588,0.2628
3/10/15,0.2572,0.2612
3/11/15,0.2591,0.2631
3/12/15,0.2596,0.2636
3/13/15,0.2593,0.2633
3/14/15,0.2593,0.2633
3/15/15,0.2593,0.2633
